'english_word';'russian_translation'
'abandon';'покидать'
'able';'способный'
'abnormal';'аномальный'
'aboard';'на борту'
'aborigine';'абориген'
'above';'выше'
'absence';'отсутствие'
'absent';'отсутствующий'
'absolute';'абсолютный'
'absolutely';'абсолютно'
'absorb';'поглощать'
'abstract';'абстрактный'
'abundance';'избыток'
'abundant';'обильный'
'academic';'академический'
'academy';'академия'
'accent';'акцент'
'acceptance';'принятие'
'access';'доступ'
'accessible';'доступный'
'accessory';'аксессуар'
'accidental';'случайный'
'accidentally';'случайно'
'accompany';'сопровождать'
'accomplish';'выполнить'
'according to';'в соответствии с'
'account';'счет'
'accountant';'бухгалтер'
'accuracy';'точность'
'accurate';'точный'
'accurately';'точно'
'accuse';'обвинять'
'accustom';'приучать'
'ache';'болеть'
'achievement';'достижение'
'acknowledge';'сознавать'
'acknowledgment/acknowledgement';'подтверждение/подтверждение'
'acquaintance';'знакомство'
'acquire';'приобретать'
'act';'действовать'
'active';'активный'
'actress';'актриса'
'ad';'объявление'
'adapt';'адаптироваться'
'address';'адрес'
'addressee';'адресат'
'administration';'администрация'
'admiration';'восхищение'
'admission';'допуск'
'adopt';'усыновить'
'adorable';'восхитительный'
'advance';'продвигать'
'adverb';'наречие'
'adverbial';'наречие'
'advert';'объявление'
'advertise';'рекламировать'
'adviser/advisor';'советник/советник'
'aerobics';'аэробика'
'affect';'оказывать воздействие'
'affection';'привязанность'
'afford';'предоставлять'
'after';'после'
'afterward';'потом'
'afterwards';'после'
'agenda';'повестка дня'
'aggressive';'агрессивный'
'agreement';'соглашение'
'agricultural';'сельскохозяйственный'
'agriculture';'сельское хозяйство'
'aid';'помогать'
'aim';'цель'
'air conditioning';'кондиционер'
'air force';'ВВС'
'airline';'авиакомпания'
'alarm';'тревога'
'alcohol';'алкоголь'
'alcoholic';'алкоголик'
'alike';'одинаково'
'allergic';'аллергический'
'allowance';'разрешение'
'aloud';'вслух'
'alphabet';'алфавит'
'alternative';'альтернатива'
'altogether';'вообще'
'amazed';'поражен'
'amazing';'удивительный'
'ambitious';'амбициозный'
'ambulance';'машина скорой помощи'
'amount';'количество'
'amusing';'занимательный'
'analysis';'анализ'
'analyze';'анализировать'
'anger';'злость'
'angle';'угол'
'animated';'анимированный'
'animation';'анимация'
'announce';'объявить'
'announcement';'объявление'
'annoyance';'раздражение'
'annoyed';'раздраженный'
'annual';'ежегодный'
