'english_word';'russian_translation'
'exterior';'экстерьер'
'cloak';'плащ'
'timid';'робкий'
'reluctantly';'неохотно'
'complexity';'сложность'
'concur';'соглашаться'
'avid';'жадный'
'marvel';'удивляться'
'wing';'крыло'
'enviable';'завидный'
'organizational';'организационный'
'psychiatrist';'психиатр'
'psychiatric';'психиатрический'
'clinical';'клинический'
'corps';'корпус'
'forensic';'судебно-медицинский'
'juvenile';'несовершеннолетний'
'jurisdiction';'юрисдикция'
'accustomed';'привыкший'
'trauma';'травма'
'traumatic';'травмирующий'
'constraint';'ограничение'
'revealing';'раскрывающий'
'eccentric';'эксцентричный'
'sanctity';'святость'
'conform';'соответствовать'
'norms';'нормы'
'quirk';'галтель'
'oddity';'странность'
'compel';'принуждать'
'compulsion';'принуждение'
'conceive';'зачать'
'conceivable';'мыслимый'
'assertion';'утверждение'
'individuality';'индивидуальность'
'psyche';'психика'
'conformity';'соответствие'
'unconventional';'нетрадиционный'
'congregate';'собираться'
'rally';'митинг'
'resent';'возмущаться'
'self-conscious';'осознанный'
'wary';'осторожный'
'stoke';'топить'
'dynamically';'динамически'
'hostess';'хозяйка'
'perpetuate';'увековечить'
'naturalness';'естественность'
'exhibitionist';'эксгибиционист'
'isolate';'изолировать'
'isolated';'изолированный'
'humble';'скромный'
'refreshingly';'освежающе'
'effortless';'легкий'
'vegetation';'растительность'
'brief';'краткий'
'respite';'передышка'
'suffice';'достаточно'
'purity';'чистота'
'gruelling';'изнурительный'
'cast';'бросать'
'comprise';'включать в себя'
'plaster';'штукатурка'
'darkroom';'темная комната'
'induct';'вводить в должность'
'induction';'индукция'
'stock';'запас'
'fossil';'ископаемое'
'geological';'геологический'
'geologically';'геологически'
'house';'дом'
'specimen';'образец'
'enormously';'чрезвычайно'
'gem';'драгоценный камень'
'explanatory';'объяснительный'
'vertical';'вертикальный'
'knowledgeable';'знающий'
'ordinarily';'обычно'
'hanging';'висит'
'tomb';'могила'
'formulate';'формулировать'
'resin';'смола'
'sacrifice';'жертва'
'cleanly';'чисто'
'endorsement';'поддержка'
'stretching';'растягивание'
'continuity';'преемственность'
'shambles';'руины'
'claustrophobic';'клаустрофобный'
'claustrophobia';'клаустрофобия'
'headstrong';'упрямый'
'tact';'такт'
'tactful';'тактичный'
'tactfully';'тактично'
'blister';'волдырь'
'sponsorship';'спонсорство'
'ego';'эго'
'class';'сорт'
'saloon';'в салон'
'lap';'колени'
'beforehand';'заранее'
'slob';'неряха'
'coverage';'покрытие'
'unplug';'отключить'
'gadget';'гаджет'
'rediscover';'открыть заново'
'subtly';'тонко'
'brainwash';'промывание мозгов'
'brainwashing';'промывание мозгов'
'implicate';'вовлекать'
'craft';'ремесло'
'malfunction';'неисправность'
'dependent';'зависимый'
'wayside';'обочина'
'expire';'истекает'
'con';'мошенничество'
'puzzle';'головоломка'
'damply';'влажный'
'ghostly';'призрачный'
'carrier';'перевозчик'
'washtub';'умывальник'
'apt';'подходящий'
'apt to';'склонен к'
'portable';'портативный'
'ornamental';'декоративный'
'placid';'спокойный'
'placidly';'спокойно'
'unmanageable';'неуправляемый'
'appliance';'прибор'
'relinquish';'отказаться'
'tedious';'скучный'
'tedium';'скука'
'exert';'оказывать'
'extortion';'вымогательство'
'alleviate';'облегчить'
'elaborate';'разрабатывать'
'elaboration';'разработка'
'detest';'ненавидеть'
'detestable';'отвратительный'
'suds';'пена'
'agreeable';'приятный'
'prowl';'бродить'
'speculate';'спекулировать'
'speculation';'спекуляция'
'speculative';'спекулятивный'
'peacock';'павлин'
'disdain';'презрение'
'reenact';'воспроизвести'
'torment';'мучить'
'extravagance';'расточительность'
'exploit';'эксплуатировать'
'exploitation';'эксплуатация'
'mechanism';'механизм'
'hence';'следовательно'
'offspring';'потомство'
'fit';'соответствовать'
'oblige';'обязывать'
'drive';'водить машину'
'collaborate';'сотрудничать'
'collaborator';'сотрудник'
'collaboration';'сотрудничество'
'collaborative';'совместный'
'showy';'эффектный'
'wrangle';'пререкания'
'premise';'помещение'
'advantageous';'выгодный'
'parasite';'паразит'
'fanciful';'причудливый'
'poise';'уравновешенность'
'customary';'привычный'
'insightful';'проницательный'
'notable';'заметный'
'vicious';'беспощадный'
'viciously';'злобно'
'pupil';'ученик'
'withdrawn';'отозван'
'withdrawal';'снятие'
'torturous';'мучительный'
'depict';'изображать'
'depiction';'описание'
'upheaval';'переворот'
'shortlist';'шорт-лист'
'uneventful';'без происшествий'
'pertinent';'уместный'
'pertain to';'относятся к'
'daydream';'мечтать'
'protagonist';'главный герой'
'simplicity';'простота'
'blockbuster';'блокбастер'
'resonate';'резонировать'
'sequel';'продолжение'
'irony';'ирония'
'acidic';'кислый'
'align';'выровнять'
'alignment';'выравнивание'
'manipulation';'манипуляция'
'suitor';'жених'
'deceit';'обман'
'alienate';'отчуждать'
'persuasively';'убедительно'
'confinement';'заключение'
'minutiae';'мелочи'
'peasant';'крестьянин'
'inexplicable';'необъяснимый'
'inexplicably';'необъяснимо'
'pigeon';'голубь'
'harass';'преследовать'
'harassment';'домогательство'
'believably';'правдоподобно'
'readable';'читаемый'
'cleverness';'ум'
'persecute';'преследовать'
'persecution';'преследование'
'smug';'самодовольный'
'smugly';'самодовольно'
'ferocious';'свирепый'
'ferociously';'яростно'
'hostile';'враждебный'
'hostility';'враждебность'
'dismay';'смятение'
'methodical';'методический'
'ruthless';'безжалостный'
'ruthlessness';'безжалостность'
'talkative';'разговорчивый'
'awe';'трепет'
'clan';'клан'
'privileged';'привилегированный'
'crumble';'рушиться'
'crumb';'крошка'
'pace';'шаг'
'closeness';'близость'
'rarity';'редкость'
'evoke';'вызывать'
'repel';'отталкивать'
'repellant';'репеллент'
'aqua';'вода'
'aquarium';'аквариум'
'insightfully';'проницательно'
'flashback';'воспоминания'
'self-worth';'самооценка'
'agonize';'мучиться'
'cite';'цитировать'
'citation';'цитирование'
'recite';'читать'
'ecstasy';'экстази'
'ecstatic';'экстатический'
'ecstatically';'экстатически'
'pleasurable';'приятный'
'nature';'природа'
'substantially';'существенно'
'favorably';'благоприятно'
'diversity';'разнообразие'
'elitist';'элитарный'
'grumble';'ворчать'
'rumble';'гул'
'neglectful';'небрежный'
'roundup';'округлять'
'conscientious';'добросовестный'
'conscientiously';'добросовестно'
'indefinite';'неопределенный'
'indefinitely';'на неопределенный срок'
'atmospheric';'атмосферный'
'fuse';'предохранитель'
'fusion';'слияние'
'robust';'крепкий'
'robustly';'сильно'
'dismal';'мрачный'
'dismally';'уныло'
'crave';'жаждать'
'craving';'страстное желание'
'prospective';'перспективный'
'swap';'менять'
'remotely';'удаленно'
'splatter';'брызги'
'automatic';'автоматический'
'automatically';'автоматически'
'exhaust';'выхлоп'
'violet';'фиолетовый'
'bubbly';'игристый'
'chaotically';'хаотично'
'apprehensive';'опасающийся'
'settee';'диван'
'trampoline';'батут'
'stamina';'выносливость'
'ploy';'уловка'
'dither';'дизеринг'
'overalls';'комбинезон'
'unison';'унисон'
'snail';'улитка'
'bliss';'блаженство'
'inexhaustible';'неисчерпаемый'
'acre';'акр'
'calf';'теленок'
'heifer';'телка'
'ewe';'овца'
'adversary';'противник'
'victorious';'победоносный'
'victoriously';'победоносно'
'profound';'глубокий'
'profoundly';'глубоко'
'baldly';'наголо'
'bald';'лысый'
'bearded';'бородатый'
'professionalism';'профессионализм'
'artistically';'художественно'
'popularization';'популяризация'
'pendulum';'маятник'
'predecessor';'предшественник'
'boast';'хвастаться'
'lapse';'упущение'
'ceaseless';'непрерывный'
'ceaselessly';'непрерывно'
'climax';'кульминация'
'climactic';'решающий'
'anticlimactic';'разочаровывающий'
'scramble';'карабкаться'
'forfeit';'лишение права'
'twitch';'дергаться'
'intellect';'интеллект'
'descent';'спуск'
'shed';'сбрасывать'
'exodus';'исход'
'immortalize';'увековечить'
'genome';'геном'
'fraction';'фракция'
'faction';'фракция'
'physique';'телосложение'
'utensil';'посуда'
'otter';'выдра'
'clammy';'липкий'
'absolute';'абсолютный'
'dispense';'распределять'
'dispensable';'необязательный'
'dispensary';'амбулатория'
'indispensable';'незаменимый'
'diverge';'расходиться'
'divergence';'расхождение'
'divergent';'расходящийся'
'burst';'лопаться'
'superficial';'поверхностный'
'superficially';'поверхностно'
'aesthetic';'эстетический'
'aesthetically';'эстетически'
'scrutinize';'внимательно изучать'
'scrutiny';'исследование'
'quip';'шутка'
'woo';'вуу'
'criteria';'критерии'
'plausible';'правдоподобный'
'plausibility';'правдоподобие'
'plausibly';'правдоподобно'
'instinctive';'инстинктивный'
'instinctively';'инстинктивно'
'stylistic';'стилистический'
'stylistically';'стилистически'
'inheritance';'наследование'
'inherent';'присущий'
'inherently';'по своей сути'
'tune';'настраивать'
'spontaneous';'спонтанный'
'spontaneously';'спонтанно'
'honk';'сигналить'
'goose';'гусь'
'innovate';'вводить новшества'
'innovation';'инновации'
'innovative';'инновационный'
'connoisseur';'знаток'
'abstraction';'абстракция'
'tantrum';'истерика'
'institute';'институт'
'discard';'отказаться'
'fatality';'фатальность'
'angle';'угол'
'stiffen';'напрягаться'
'wooded';'лесистый'
'flatter';'льстить'
'flattery';'лесть'
'aimless';'бесцельный'
'aimlessly';'бесцельно'
'meaningless';'бессмысленный'
'meaninglessly';'бессмысленно'
'candid';'откровенный'
'candidly';'откровенно'
'vitality';'жизненная сила'
'provoke';'провоцировать'
'provocative';'провокационный'
'provocatively';'вызывающе'
'clench';'сжимать'
'haggle';'торговаться'
'scorn';'презрение'
'scornful';'презрительный'
'scornfully';'пренебрежительно'
'animatedly';'оживленно'
'obscure';'затемнять'
'obscurely';'неясно'
'elevate';'возвышать'
'elevation';'высота'
'pose';'поза'
'tediously';'утомительно'
'succession';'преемственность'
'formality';'формальность'
'jog';'бегать трусцой'
'mountaineer';'альпинист'
'pioneer';'пионер'
'quest';'квест'
'transatlantic';'трансатлантический'
'rudiments';'рудименты'
'rudimentary';'элементарный'
'paddle';'весло'
'immense';'огромный'
'immensely';'безмерно'
'advisory';'консультативный'
'trying';'пытающийся'
'adrenaline';'адреналин'
'tinker';'возиться'
'lavatory';'туалет'
'expedition';'экспедиция'
'pinnacle';'вершина'
'insecure';'ненадежный'
'insecurely';'неуверенно'
'reassure';'успокоить'
'reassurance';'заверение'
'insensitive';'бесчувственный'
'insensitively';'бесчувственно'
'profess';'исповедовать'
'drawback';'недостаток'
'resort';'прибегнуть'
'oversee';'наблюдать'
'overseer';'надзиратель'
'estimation';'оценка'
'commission';'комиссия'
'liaison';'связь'
'stressfully';'напряженно'
'loom';'ткацкий станок'
'notwithstanding';'несмотря на это'
'structurally';'структурно'
'structural';'структурный'
'chauffer';'нагревать'
'sedentary';'малоподвижный'
'rapport';'взаимопонимание'
'landscape';'пейзаж'
'consultation';'консультация'
'consultancy';'консультирование'
'bloom';'цвести'
'engineer';'инженер'
'retention';'удержание'
'quarry';'карьер'
'specification';'спецификация'
'contract';'договор'
'contractor';'подрядчик'
'query';'запрос'
'possessor';'владелец'
'chill';'холод'
'chilly';'холодно'
'frost';'мороз'
'frosty';'морозный'
'frostily';'морозный'
'man';'мужчина'
'unmanned';'беспилотный'
'impersonal';'безличный'
'impersonally';'безлично'
'impersonate';'выдавать себя за другого'
'impersonator';'имитатор'
'impersonation';'олицетворение'
'buzzer';'зуммер'
'desert';'пустыня'
'desertion';'дезертирство'
'unoccupied';'незанятый'
'stuffy';'душно'
'stuffily';'душно'
'stuffiness';'духота'
'gape';'зиять'
'repute';'репутация'
'toughness';'прочность'
'recall';'отзывать'
'recollection';'воспоминание'
'plumbing';'сантехника'
'usher';'помощник'
'glum';'мрачный'
'glumly';'мрачно'
'gamely';'храбро'
'dissect';'рассечь'
'dissection';'рассечение'
'commend';'хвалить'
'commendation';'похвала'
'thereby';'тем самым'
'flick';'щелкнуть'
'flicker';'мерцать'
'unenviable';'незавидный'
'unenviably';'незавидно'
'voice';'голос'
'tread';'ступать'
'allege';'утверждать'
'allegation';'обвинение'
'bribe';'подкупить'
'bribery';'взяточничество'
'inclusion';'включение'
'inclusive';'инклюзивный'
'inclusively';'включительно'
'unconvincing';'неубедительно'
'unconvincingly';'неубедительно'
'recharge';'перезарядка'
'facilitation';'содействие'
'condition';'состояние'
'conditional';'условный'
'conditionally';'условно'
'tone';'тон'
'supple';'гибкий'
'manicure';'маникюр'
'pedicure';'педикюр'
'facial';'уход за лицом'
'bouquet';'букет'
'refurbish';'ремонтировать'
'refurbishment';'ремонт'
'grounds';'основания'
'ground';'земля'
'lethargy';'вялость'
'lethargic';'вялый'
'lethargically';'вяло'
'stately';'величественный'
'conserve';'сохранять'
'conservatory';'консерватория'
'disquieting';'тревожный'
'fiercely';'яростно'
'grapefruit';'грейпфрут'
'exotic';'экзотика'
'exotically';'экзотично'
'flask';'колба'
'spacious';'просторный'
'gourmet';'гурман'
'rich';'богатый'
'conjure';'вызывать в воображении'
'creamy';'сливочный'
'sauna';'сауна'
'remedial';'исправительный'
'posture';'поза'
'sedate';'успокаивать'
'sedately';'степенно'
'clutch';'схватить'
'stagger';'шататься'
'staggering';'ошеломляющий'
'dutiful';'послушный'
'dutifully';'послушно'
'calorie';'калория'
'firm';'твердый'
'fabulously';'сказочно'
'premises';'помещение'
'eclectic';'эклектичный'
'eclectically';'эклектично'
'revere';'почитать'
'harbor/harbour';'гавань/гавань'
'recognizable';'узнаваемый'
'recognizably';'узнаваемо'
'batter';'тесто'
'battery';'батарея'
'unreliably';'ненадежно'
'waterfront';'набережная'
'amply';'достаточно'
'amplification';'усиление'
'battered';'избитый'
'comply';'исполнять'
'compliance';'согласие'
'compliant';'совместимый'
'compliantly';'послушно'
'blankness';'пустота'
'exuberant';'буйный'
'exuberance';'изобилие'
'exuberantly';'буйно'
'linear';'линейный'
'linearly';'линейно'
'flourish';'процветать'
'anchor';'якорь'
'anchored';'поставленный на якорь'
'domination';'господство'
'dominant';'доминирующий'
'dominantly';'преимущественно'
'interject';'вставлять'
'interjection';'междометие'
'gush';'хлестать'
'gushing';'хлынул'
'gushingly';'хлещущий'
'voracious';'прожорливый'
'voraciously';'жадно'
'sketchbook';'альбом для рисования'
'sketch';'эскиз'
'prop';'опора'
'imp';'имп'
'impish';'озорной'
'impishly';'озорно'
'wicked';'злой'
'wickedly';'злобно'
'macabre';'жуткий'
'gusto';'смак'
'tantamount';'равнозначный'
'antics';'выходки'
'relapse';'рецидив'
'impede';'препятствовать'
'impediment';'препятствие'
'taut';'тугой'
'tautly';'туго'
'jersey';'Джерси'
'startling';'поразительный'
'startlingly';'поразительно'
'slack';'слабый'
'slackly';'вяло'
'unwavering';'непоколебимый'
'unwaveringly';'непоколебимо'
'removed';'удаленный'
'buffoon';'шут'
'beguiling';'соблазнительный'
'beguilingly';'соблазнительно'
'blithely';'беспечно'
'stray';'бродить'
'mythological';'мифологический'
'mythology';'мифология'
'venerate';'почитать'
'veneration';'почитание'
'ethical';'этический'
'ethically';'этически'
'heroine';'героиня'
'refreshing';'освежающий'
'refresh';'обновить'
'zany';'безумный'
'devotee';'преданный'
'salve';'мазь'
'salvation';'спасение'
'salvage';'спасение'
'staccato';'стаккато'
'verve';'воодушевление'
'motley';'пестрый'
'preach';'проповедовать'
'preacher';'проповедник'
'behind';'позади'
'justly';'справедливо'
'wry';'криво'
'wryly';'криво'
'poetess';'поэтесса'
'confide';'доверять'
'sentient';'разумный'
'sentiment';'настроение'
'sentimental';'сентиментальный'
'sentimentally';'сентиментально'
'tangle';'запутывать'
'tangled';'запутанный'
'untangle';'распутывать'
'untangled';'распутанный'
'perceptive';'проницательный'
'perceptively';'проницательно'
'outset';'начало'
