english_word; russian_translation
'abandoned';'заброшенный'
'abnormally';'ненормально'
'abolish';'отменять'
'aboriginal';'абориген'
'abruptly';'резко'
'absentee';'заочный'
'absurd';'абсурдный'
'abuse';'злоупотреблять'
'access';'доступ'
'accessibility';'доступность'
'accommodation';'размещение'
'accordingly';'соответственно'
'accumulate';'накапливать'
'accusation';'обвинение'
'ache';'болеть'
'achievable';'достижимый'
'acid';'кислота'
'acquisition';'приобретение'
'actively';'активно'
'actual';'действительный'
'acute';'острый'
'adaptable';'адаптируемый'
'addict';'наркоман'
'addicted';'с зависимостью'
'addiction';'зависимость'
'additionally';'кроме того'
'adequate';'адекватный'
'adequately';'адекватно'
'adjustment';'корректирование'
'administrative';'административный'
'admirable';'замечательный'
'admiringly';'восхищенно'
'admittedly';'по общему признанию'
'adopted';'усыновленный'
'adoption';'принятие'
'adore';'обожаю'
'adorn';'украшать'
'advance';'продвигать'
'advancement';'продвижение'
'advent';'появление'
'adventurous';'авантюрный'
'adverse';'неблагоприятный'
'adversely';'неблагоприятно'
'adversity';'невзгоды'
'affectionate';'любящий'
'affectionately';'ласково'
'affordable';'доступный'
'ageless';'нестареющий'
'aggressively';'агрессивно'
'agonize/agonise';'мучиться / мучиться'
'agony';'агония'
'aim';'цель'
'aircraft';'самолет'
'aircrew';'экипаж'
'alcoholic';'алкоголик'
'alcoholism';'алкоголизм'
'alert';'тревога'
'allegation';'обвинение'
'alliance';'альянс'
'ally';'союзник'
'alongside';'рядом'
'alphabetical';'по алфавиту'
'altar';'алтарь'
'alter';'изменить'
'alternate';'альтернативный'
'alternatively';'альтернативно'
'altitude';'высота'
'aluminum/aluminium';'алюминий/алюминий'
'amaze';'удивлять'
'amazement';'изумление'
'amazingly';'удивительно'
'ambassador';'посол'
'ambiguity';'двусмысленность'
'ambiguous';'двусмысленный'
'ammonia';'аммиак'
'amongst';'среди'
'ample';'обильный'
'amplifier';'усилитель'
'amplify';'усиливать'
'amuse';'развлекать'
'analogy';'аналогия'
'analyst';'аналитик'
'anchor';'якорь'
'anchorage';'якорная стоянка'
'anchorman';'ведущий'
'anchorperson';'ведущий'
'anguish';'тоска'
'animate';'оживлять'
'anonymous';'анонимный'
'antiaircraft';'зенитный'
'antibacterial';'антибактериальный'
'anticancer';'противораковый'
'anticipate';'предвидеть'
'anticipation';'ожидание'
'antipollution';'борьба с загрязнением окружающей среды'
'antique';'античный'
'antistatic';'антистатический'
'antivirus';'антивирус'
'apostrophe';'апостроф'
'appeal';'обращаться'
'applicant';'заявитель'
'appreciative';'благодарный'
'approach';'подход'
'appropriately';'соответственно'
'approximate';'приблизительный'
'arch';'арка'
'archaeologist/archeologist';'археолог/археолог'
'arctic';'арктический'
'arena';'арена'
'aristocracy';'аристократия'
