"english";"russian";"difficulty"
"ability";"способность";A2
"abroad";"за границей";A2
"accept";"принимать";A2
"acceptable";"приемлемый";A2
"accident";"несчастный случай";A2
"account";"счет";A2
"achieve";"достигать";A2
"across";"через";A2
"act";"действовать";A2
"actually";"на самом деле";A2
"addition";"добавление";A2
"additional";"дополнительный";A2
"adjective";"прилагательное";A2
"adjust";"регулировать";A2
"admire";"восхищаться";A2
"admit";"признавать";A2
"adult";"взрослый";A2
"advanced";"передовой";A2
"advantage";"преимущество";A2
"adventure";"приключение";A2
"advertisement";"реклама";A2
"advertising";"реклама";A2
"advice";"совет";A2
"advise";"советовать";A2
"affair";"дело";A2
"after";"после";A2
"against";"против";A2
"aged";"в возрасте";A2
"agency";"агентство";A2
"agent";"агент";A2
"ahead";"предстоящий";A2
"air";"воздух";A2
"aisle";"ряд";A2
"alarm";"тревога";A2
"alarm clock";"будильник";A2
"alive";"живой";A2
"all";"все";A2
"allow";"позволять";A2
"alone";"один";A2
"along";"вдоль";A2
"alright";"хорошо";A2
"although";"хотя";A2
"ambition";"амбиции";A2
"among";"среди";A2
"amused";"изумленный";A2
"amusement";"развлечение";A2
"ancestor";"предок";A2
"ancient";"древний";A2
"angel";"ангел";A2
"angrily";"сердито";A2
"ankle";"лодыжка";A2
"anniversary";"годовщина";A2
"annoy";"раздражать";A2
"annoying";"раздражающий";A2
"another";"другой";A2
"anxious";"тревожный";A2
"anymore";"больше";A2
"anyway";"в любом случае";A2
"anywhere";"где угодно";A2
"apart";"отдельно";A2
"apartment";"квартира";A2
"apologize";"извиниться";A2
"apparently";"видимо";A2
"appear";"появляться";A2
"appearance";"появление";A2
"apply";"применять";A2
"appointment";"встреча";A2
"appreciate";"ценить";A2
"appropriate";"соответствующий";A2
"architecture";"архитектура";A2
"area";"область";A2
"argue";"спорить";A2
"argument";"аргумент";A2
"armchair";"кресло";A2
"armed";"вооруженный";A2
"around";"вокруг";A2
"artificial";"искусственный";A2
"as";"как";A2
"asleep";"спящий";A2
"assistant";"помощник";A2
"association";"ассоциация";A2
"astronaut";"космонавт";A2
"athlete";"спортсмен";A2
"atom";"атом";A2
"attack";"атаковать";A2
"attempt";"пытаться";A2
"attention";"внимание";A2
"attitude";"отношение";A2
"attractive";"привлекательный";A2
"audience";"аудитория";A2
"audio";"аудио";A2
"author";"автор";A2
"automatic";"автоматический";A2
"automatically";"автоматически";A2
"average";"средний";A2
"avoid";"избегать";A2
"award";"награда";A2
"awful";"ужасный";A2
"back";"назад";A2
"background";"фон";A2
"badly";"плохо";A2
"badminton";"бадминтон";A2
"bake";"выпекать";A2
"balcony";"балкон";A2
"balloon";"воздушный шар";A2
"bank";"банк";A2
"banking";"банковское дело";A2
"barbecue";"барбекю";A2
"barber";"парикмахер";A2
"bargain";"торговаться";A2
"base";"база";A2
"basic";"базовый";A2
"basically";"по сути";A2
"basket";"корзина";A2
"batch";"партия";A2
"battery";"батарея";A2
"bay";"залив";A2
"bear";"медведь";A2
"beauty";"красота";A2
"been";"был";A2
"beer";"пиво";A2
"before";"до";A2
"beg";"просить";A2
"beginner";"новичок";A2
"beginning";"начало";A2
"behavior";"поведение";A2
"being";"существование";A2
"belly";"живот";A2
"belong";"принадлежать";A2
"belt";"пояс";A2
"bench";"лавка";A2
"bend";"сгибать";A2
"besides";"кроме";A2
"better";"лучше";A2
"beyond";"вне";A2
"bill";"счет";A2
"bit";"кусочек";A2
"bite";"кусать";A2
"blackboard";"доска";A2
"blame";"обвинять";A2
"blanket";"одеяло";A2
"blonde";"блондинка";A2
"blood";"кровь";A2
"bloom";"цвести";A2
"blow";"дуть";A2
"board game";"настольная игра";A2
"boil";"варить";A2
"boiled";"вареный";A2
"bonus";"бонус";A2
"bookcase";"книжный шкаф";A2
"bookshelf";"книжная полка";A2
"bookshop";"книжный магазин";A2
"bored";"скучающий";A2
